ID;name;count
1;Aba North;2
2;Aba South;8
3;Arochukwu;54
4;Bende;4
5;Ikwuano;6
6;Isiala Ngwa South;18
7;Isiala Ngwa North;7
8;Isuikwuato;10
9;Obi Ngwa;3
10;Ohafia;23
11;No name;0
12;Ugwunagbo;3
13;Ukwa East ;5
14;Ukwa West;4
15;Umu-Nneochi;7
16;Umuahia North;12
17;Umuahia South;10
18;Demsa;1
19;Gombi;1
20;No name;0
21;Guyuk;3
22;Hong;1
23;Lamurde;1
24;Mayo-Belwa;1
25;No name;0
26;No name;0
27;Song;4
28;Yola South;1
29;Yola North;2
30;Abak;1
31;No name;0
32;Esit Eket;3
33;Essien Udim;1
34;No name;0
35;No name;0
36;No name;0
37;Ibiono Ibom;4
38;No name;0
39;Ikono;2
40;Ikot Abasi;2
41;No name;0
42;Ini;1
43;Itu;2
44;Mkpat Enin;3
45;No name;0
46;Nsit Ibom;4
47;Nisit Ubium;9
48;Obot Akara;4
49;Okobo;3
50;Onna;1
51;No name;0
52;Ukana Fun;5
53;Uruan ;12
54;Oruko;3
55;Uyo;9
56;Aguata;65
57;Anambra East;38
58;Anambra West;58
59;No name;0
60;Akwa North;9
61;Awka South;34
62;Ayamelum;11
63;Dunukofia;18
64;Ekwusigo;20
65;Idemili North;56
66;Idemili South;3
67;Ihiala;2
68;Njikoka;28
69;Nnewi North;18
70;Nnewi South;6
71;Ogbaru;29
72;Onitsha North;35
73;No name;0
74;Orumba North;19
75;No name;0
76;Oyi;3
77;Alkaleri;63
78;Bauchi;25
79;Bogoro;1
80;Dambam;1
81;Darazo;13
82;Dass;4
83;Gamawa;1
84;Ganjuwa;13
85;No name;0
86;Itas;4
87;Jaamare;1
88;No name;0
89;Kirfi;11
90;Misau;2
91;Ningi;90
92;Shira;5
93;Tafawa Balewa;5
94;No name;0
95;Warji;3
96;Zaki;4
97;Kolokuma;2
98;Nembe;2
99;Ogbia;5
100;Sagbama;2
101;Yenagoa;10
102;No name;0
103;Agatu;9
104;Apa;1
105;Buruku;4
106;Gboko;15
107;Guma;11
108;Gwer East;3
109;Gwer West;43
110;Katsina Ala;3
111;Konshisha;1
112;Logo;14
113;Makurdi;6
114;No name;0
115;Ogbadibo;4
116;Ohimini;2
117;No name;0
118;Okpokwu;46
119;No name;0
120;Tarka;13
121;Ukum;3
122;Ushongo;35
123;Vandeikya;16
124;Askira Uba;14
125;No name;0
126;Biu;79
127;Chibok;13
128;Damboa;26
129;Dikwa;4
130;Gubio;25
131;Guzamala;2
132;Hawul;6
133;Jere;16
134;Kaga;6
135;Konduga;33
136;Kwaya Kusar;8
137;Mafa;9
138;Magumeri;6
139;Maiduguri;16
140;No name;0
141;Nganzai;17
142;Shani;21
143;No name;0
144;Bekwarra;2
145;No name;0
146;Kalabar Municipal;1
147;No name;0
148;No name;0
149;Obudu;1
150;No name;0
151;Yakurr;1
152;Yala;1
153;Aniocha North;6
154;Aniocha South;8
155;Bomadi;1
156;No name;0
157;Ethiope West ;2
158;Ika North East;1
159;Ika South;6
160;Isoko North;4
161;Isoko South;9
162;Ndokwa East ;1
163;No name;0
164;No name;0
165;Oshimili North;7
166;Oshimili South;3
167;Patani;1
168;Sapele;4
169;No name;0
170;Ughelli North;6
171;Burutu;1
172;Ukwuani;3
173;Uview;1
174;No name;0
175;Afikpo North;3
176;Afikpo South;11
177;Abakaliki;7
178;Ebonyi;17
179;Ezza North;6
180;Ezza South;9
181;Ikwo;1
182;Ishielu;11
183;Ivo;4
184;Izzi;144
185;Ohaozara;6
186;Ohaukwu;3
187;No name;0
188;Akoko Edo;14
189;Egor;20
190;Essan NE;13
191;Essan Central;18
192;Essan SE;10
193;Essan West;29
194;Etsako Central;4
195;Etsako East;11
196;Etsako West;51
197;Iguegben;13
198;Ikpoba Okha;13
199;Oredo;6
200;Orhionmwon;13
201;No name;0
202;Owia SW;46
203;Owian East;13
204;Owian West;7
205;No name;0
206;Ado Ekiti;8
207;No name;0
208;Gbonyin;4
209;Ekiti SW;7
210;Ekiti W;1
211;No name;0
212;No name;0
213;Ido Osi;3
214;Ijero;6
215;Ikere;1
216;Ikole;2
217;Ilejemeje;8
218;Irepodum;3
219;Ise;11
220;No name;0
221;Oye;1
222;Aninri;18
223;Awgu;20
224;Enugu East;5
225;Enugu North;1
226;No name;0
227;Ezeagu;4
228;Igbo Etiti;13
229;Igbo Eze North;48
230;Igbo Eze South;5
231;Isi Udo;4
232;Nkanu East;5
233;Nkanu West;11
234;Nsukka;9
235;Oji River;7
236;Udenu;12
237;Udi;9
238;Uzo Uwani;52
239;Abaji;22
240;Bwari;26
241;Gwagwalada;8
242;Ilesha East;1
243;Ilesha West;3
244;No name;0
245;Irewole;1
246;No name;0
247;Iwo;1
248;Obokun;2
249;Odo Otin;3
250;Ola Oluwa;3
251;Olorunda;2
252;Oriade;3
253;No name;0
254;Osogbo;3
255;Afijon;1
256;Akinyele;17
257;Atiba;1
258;Egbeda;2
259;Ibadan N;2
260;Ibadan NE;4
261;Ibadan NW;1
262;Ibadan SW;1
263;Ibadan SE;16
264;Kuje;2
265;Kwali;1
266;No name;0
267;Akko;6
268;Balanga;4
269;Billiri;1
270;Dukku;7
271;Funakaye;1
272;Gombe;13
273;Kaltungo;1
274;Kwami;5
275;Nafada;1
276;No name;0
277;Yamaltu;1
278;Aboh Mbaise;26
279;Ahizau Mbaise;8
280;Ehime Mbano;2
281;Ezinihitte;4
282;Ideato North;5
283;Ideato South;7
284;Ihitte;5
285;Ikeduru;5
286;Isiala Mbano;2
287;No name;0
288;Mbatoli;4
289;Ngor Okpala;12
290;Njaba;9
291;No name;0
292;Nwangele;5
293;Obowo;6
294;Oguta;4
295;Ohaji;3
296;Okigwe;4
297;Orlu;8
298;Orsu;4
299;Orlu E;18
300;Orlu W;18
301;Owerri Municipal;10
302;No name;0
303;Owerri West;6
304;Onuimo;1
305;Auyo;7
306;Babura;1
307;Biriniwa;7
308;No name;0
309;Buji;4
310;Dutse;3
311;Gagarawa;9
312;Garki;7
313;No name;0
314;Guri;5
315;Gwaram;8
316;Gwiwa;1
317;Hadejia;2
318;Jahun;1
319;Kafin Hausa;6
320;Kaugama;9
321;Kazure;7
322;Kiri Kasama;6
323;Malam Madori;4
324;No name;0
325;Ringim;5
326;Roni;7
327;No name;0
328;Yankwashi;20
329;Kiyawa;3
330;No name;0
331;Chikun;1
332;Giwa;1
333;Kaura;4
334;Igabi;4
335;Ikara;3
336;No name;0
337;JemaA;2
338;Kachia;5
339;Kaduna N;1
340;No name;0
341;Kaura E;1
342;Kajuru;1
343;Kuban;2
344;No name;0
345;Lere;10
346;Makarafi;2
347;No name;0
348;Sanga;3
349;Soba;3
350;No name;0
351;Zaria;3
352;Kaduna S;13
353;No name;0
354;Albasu;4
355;Bagwai;10
356;No name;0
357;Bichi;6
358;No name;0
359;Dala;8
360;Dambatta;2
361;Dawakin Kudu;16
362;Dawakin Tofa;3
363;Doguwa;5
364;Fagge;6
365;No name;0
366;Garko;6
367;Garum Malam;6
368;Gaya;2
369;Gezawa;5
370;Gwale;4
371;Gwarzo;2
372;Kabo;5
373;Kano Municipal;11
374;Karaye;32
375;Kibiya;4
376;Kiru;15
